Episode,User_Entropy,Assistant_Entropy,Entropy
300_P,0,0,0.7801769833585687
301_P,0,0,0.7735520341306892
302_P,0,0,0.7611086692341784
303_P,0,0,0.7487296026682712
304_P,0,0,0.7638972449994763
305_P,0,0,0.7505444555649101
306_P,0,0,0.7715650914851646
307_P,0,0,0.7342131600917808
308_P,0,0,0.7708243123244884
309_P,0,0,0.7924934446060165
310_P,0,0,0.7489190683802487
311_P,0,0,0.7630434797246469
312_P,0,0,0.7616144556714016
313_P,0,0,0.775100469456407
314_P,0,0,0.7266363425386299
315_P,0,0,0.7654592312196312
316_P,0,0,0.7588794104115922
317_P,0,0,0.765212260744044
318_P,0,0,0.7616584988628742
319_P,0,0,0.7681626247045199
320_P,0,0,0.7829137777025789
321_P,0,0,0.7501869168015507
322_P,0,0,0.769794809121224
323_P,0,0,0.7564780245759584
324_P,0,0,0.7503896017298005
325_P,0,0,0.7488268098584552
326_P,0,0,0.7836632949636584
327_P,0,0,0.7497005554520945
328_P,0,0,0.7475329262289923
329_P,0,0,0.7495871238865529
330_P,0,0,0.7924274935590364
331_P,0,0,0.7589288147721623
332_P,0,0,0.7536587212986136
333_P,0,0,0.7554496792266256
334_P,0,0,0.7435718686217582
335_P,0,0,0.7698814973339964
336_P,0,0,0.7804494066823219
337_P,0,0,0.7175934742367615
338_P,0,0,0.7701642308413343
339_P,0,0,0.7536876406162678
340_P,0,0,0.7585431578869922
341_P,0,0,0.7487985842325114
343_P,0,0,0.769126042539867
344_P,0,0,0.7499938654902171
345_P,0,0,0.7891129791694521
346_P,0,0,0.7308180159821006
347_P,0,0,0.7740967668239911
348_P,0,0,0.757797682705471
349_P,0,0,0.7672442527246346
350_P,0,0,0.7638500127487906
351_P,0,0,0.744984255701474
352_P,0,0,0.7649444121021699
353_P,0,0,0.760403863695766
354_P,0,0,0.7660791691819597
355_P,0,0,0.7434730595471973
356_P,0,0,0.7565724599011713
357_P,0,0,0.7855661312157906
358_P,0,0,0.7637449734943944
359_P,0,0,0.7413712863274806
360_P,0,0,0.7713163404794472
361_P,0,0,0.7541846754368416
362_P,0,0,0.7572058765429476
363_P,0,0,0.7453827765080342
364_P,0,0,0.7396020362204235
365_P,0,0,0.7606791239093619
366_P,0,0,0.7592409168024078
367_P,0,0,0.7570097591475581
368_P,0,0,0.7486205007340553
369_P,0,0,0.7716677013972519
370_P,0,0,0.746994326811076
371_P,0,0,0.7674570157034162
372_P,0,0,0.747714633342377
373_P,0,0,0.7381650693958213
374_P,0,0,0.7635196785152393
375_P,0,0,0.7483069427650485
376_P,0,0,0.7351215240838948
377_P,0,0,0.7413164322199105
378_P,0,0,0.7590214769501002
379_P,0,0,0.7478986023816472
380_P,0,0,0.7610116093968889
381_P,0,0,0.7640634314353484
382_P,0,0,0.7612963623623421
383_P,0,0,0.7655373203060845
384_P,0,0,0.7675627285799089
385_P,0,0,0.740578415873487
386_P,0,0,0.7487933273738808
387_P,0,0,0.7566434061340249
388_P,0,0,0.759051562296881
389_P,0,0,0.7680764506717911
390_P,0,0,0.7394333803519956
391_P,0,0,0.7781568849300275
392_P,0,0,0.7775284919354946
393_P,0,0,0.7640234723434134
395_P,0,0,0.7622208484771821
396_P,0,0,0.7603051216095331
397_P,0,0,0.7502018382255267
399_P,0,0,0.754469289653444
400_P,0,0,0.7618131005450989
401_P,0,0,0.7643669006204237
402_P,0,0,0.7438240572446592
403_P,0,0,0.7534355274470103
404_P,0,0,0.7514186889175373
405_P,0,0,0.7367820055479471
406_P,0,0,0.7729458561760355
407_P,0,0,0.7375099975291098
408_P,0,0,0.7496046539812112
409_P,0,0,0.7429622043093594
410_P,0,0,0.7545368620999732
411_P,0,0,0.7357809056580473
412_P,0,0,0.7724092468024681
413_P,0,0,0.7453026594712421
600_P,0,0,0.7798552672821506
601_P,0,0,0.7607371905911664
602_P,0,0,0.772543341188823
603_P,0,0,0.7409173354630536
604_P,0,0,0.7830823402327752
605_P,0,0,0.7670797532930794
606_P,0,0,0.7814088876209738
607_P,0,0,0.7807586813560016
608_P,0,0,0.7458936003577836
609_P,0,0,0.7441864706985882
612_P,0,0,0.7520491718720084
615_P,0,0,0.7626790802526774
617_P,0,0,0.7297528256569284
618_P,0,0,0.7659851033179752
619_P,0,0,0.7551444618511562
620_P,0,0,0.7697107370020946
622_P,0,0,0.767617934218207
623_P,0,0,0.7477324936902219
624_P,0,0,0.7626579139574778
625_P,0,0,0.7454698755561484
626_P,0,0,0.766280616734263
627_P,0,0,0.7323779539377022
628_P,0,0,0.7687831911755876
629_P,0,0,0.7444422818031142
631_P,0,0,0.7728322441644683
632_P,0,0,0.7466886404522277
633_P,0,0,0.7198830167982766
634_P,0,0,0.7656438377593069
635_P,0,0,0.765617863192121
636_P,0,0,0.7035162226846746
637_P,0,0,0.7609362981066644
638_P,0,0,0.7813503796875558
640_P,0,0,0.7680574415273973
641_P,0,0,0.7617349800145182
649_P,0,0,0.7535852495537483
650_P,0,0,0.7234312169207353
651_P,0,0,0.7870852607530969
652_P,0,0,0.753881616295255
653_P,0,0,0.7792749944299806
654_P,0,0,0.7550486011123996
655_P,0,0,0.7534326926008936
656_P,0,0,0.765088362620258
657_P,0,0,0.7711193375520022
